year,country,impact
2023,CHN,0.049154712530864154
2023,USA,0.05136813398830204
2023,DEU,0.036248002038994406
2023,NLD,0.0273159016556636
2023,JPN,0.029068382726609693
2023,FRA,0.023697268064763306
2023,KOR,0.028180326225327828
2023,ITA,0.01794925819041503
2023,GBR,0.02182783552072186
2023,HKG,0.03764929125041597
2023,MEX,0.04076157425113484
2023,CAN,0.0404768782279665
2023,BEL,0.020923590837317232
2023,IND,0.019843992617278268
2023,ESP,0.01596234741214198
2023,SGP,0.020599071187133167
2023,CHE,0.017507465916945894
2023,POL,0.021858392047121436
2023,RUS,0.025876063525694767
2023,VNM,0.02445168277332128
2023,AUS,0.02487958333986668
2023,ARE,0.01552852472455494
2023,MYS,0.01947978038613985
2023,TUR,0.00918884729963404
2023,BRA,0.021905893535770344
2023,THA,0.017231575467373583
2023,SAU,0.015756244565921767
2023,IDN,0.019172355617903477
2023,CZE,0.018194763265820358
2023,AUT,0.01886720443500441
2024,CHN,0.04923304651977559
2024,USA,0.05129572750478642
2024,DEU,0.03531966535927065
2024,NLD,0.02639522669981212
2024,JPN,0.028483679739291893
2024,FRA,0.02269445059384398
2024,KOR,0.028057120259016275
2024,HKG,0.03844619942295023
2024,MEX,0.04097302997353424
2024,GBR,0.021728351275443727
2024,ITA,0.017495267021462632
2024,CAN,0.04004999234346637
2024,IND,0.019852700412852413
2024,BEL,0.019807335441826866
2024,SGP,0.020767571412709334
2024,ESP,0.015557379679317345
2024,VNM,0.02518960320787321
2024,CHE,0.017964641287967074
2024,POL,0.02135986977291685
2024,ARE,0.01611202462239023
2024,RUS,0.025792149214070456
2024,MYS,0.020132263888800482
2024,AUS,0.023267491303828155
2024,BRA,0.021803825237638887
2024,THA,0.017998571215157837
2024,TUR,0.008458836901104806
2024,IDN,0.019268531393158757
2024,SAU,0.015411408976100447
2024,CZE,0.01772652102140279
2024,AUT,0.01808717460816872
